step,sigma_hat_0,sigma_t,approx_coeff,residual_rms,sure_val,raw_grad_rms,eff_grad_rms,effective_alpha,step_rms,adam_ratio
18,0.186553,11.288198,1.0000,0.204391,5584.594679,0.204391,0.204391,0.004069,0.000832,1.000000
19,0.219526,10.996489,1.0000,0.237840,6673.276798,0.237840,0.237840,0.004168,0.000991,1.000000
20,0.182680,10.698330,1.0000,0.195871,5028.732119,0.195871,0.195871,0.004274,0.000837,1.000000
21,0.195434,10.394307,1.0000,0.206652,5268.369022,0.206652,0.206652,0.004388,0.000907,1.000000
22,0.167442,10.084996,1.0000,0.179114,4193.841575,0.179114,0.179114,0.004511,0.000808,1.000000
23,0.182544,9.770967,1.0000,0.195047,4659.538178,0.195047,0.195047,0.004642,0.000905,1.000000
24,0.173406,9.452787,1.0000,0.186067,4284.357365,0.186067,0.186067,0.004783,0.000890,1.000000
25,0.160025,9.131018,1.0000,0.168789,3732.046108,0.168789,0.168789,0.004935,0.000833,1.000000
26,0.150966,8.806214,1.0000,0.157521,3250.148609,0.157521,0.157521,0.005099,0.000803,1.000000
27,0.146795,8.478933,1.0000,0.154586,3055.975286,0.154586,0.154586,0.005275,0.000815,1.000000
28,0.129325,8.149728,1.0000,0.134809,2586.575698,0.134809,0.134809,0.005465,0.000737,1.000000
29,0.135427,7.819149,1.0000,0.145254,2603.024062,0.145254,0.145254,0.005669,0.000824,1.000000
30,0.126201,7.487746,1.0000,0.136967,2373.685055,0.136967,0.136967,0.005891,0.000807,1.000000
31,0.121052,7.156068,1.0000,0.132731,2147.053764,0.132731,0.132731,0.006130,0.000814,1.000000
32,0.115746,6.824666,1.0000,0.131005,2140.668943,0.131005,0.131005,0.006390,0.000837,1.000000
33,0.100349,6.494086,1.0000,0.108128,1509.020656,0.108128,0.108128,0.006672,0.000721,1.000000
34,0.119820,6.164881,1.0000,0.128555,1916.638223,0.128555,0.128555,0.006978,0.000897,1.000000
35,0.108359,5.837600,1.0000,0.115500,1650.507730,0.115500,0.115500,0.007313,0.000845,1.000000
36,0.105004,5.512797,1.0000,0.116621,1761.633198,0.116621,0.116621,0.007677,0.000895,1.000000
37,0.091504,5.191027,1.0000,0.104412,1489.178805,0.104412,0.104412,0.008076,0.000843,1.000000
38,0.085035,4.872847,1.0000,0.105767,1504.042225,0.105767,0.105767,0.008514,0.000900,1.000000
39,0.083034,4.558818,1.0000,0.102923,1435.340479,0.102923,0.102923,0.008995,0.000926,1.000000
40,0.075548,4.249507,1.0000,0.088067,1030.056120,0.088067,0.088067,0.009525,0.000839,1.000000
41,0.081069,3.945484,1.0000,0.100284,1291.788192,0.100284,0.100284,0.010110,0.001014,1.000000
42,0.083041,3.647326,1.0000,0.093665,1205.398396,0.093665,0.093665,0.010759,0.001008,1.000000
43,0.070518,3.355617,1.0000,0.080217,930.549891,0.080217,0.080217,0.011479,0.000921,1.000000
44,0.067300,3.070950,1.0000,0.080551,847.805607,0.080551,0.080551,0.012282,0.000989,1.000000
45,0.066144,2.793929,1.0000,0.078678,799.016940,0.078678,0.078678,0.013179,0.001037,1.000000
46,0.063456,2.525169,1.0000,0.074603,720.802917,0.074603,0.074603,0.014184,0.001058,1.000000
47,0.056187,2.265302,1.0000,0.063358,524.898634,0.063358,0.063358,0.015313,0.000970,1.000000
48,0.048815,2.014978,1.0000,0.054459,407.686615,0.054459,0.054459,0.016584,0.000903,1.000000
49,0.050284,1.774869,1.0000,0.052898,389.907952,0.052898,0.052898,0.018019,0.000953,1.000000
50,0.047082,1.545675,1.0000,0.049114,340.671414,0.049114,0.049114,0.019641,0.000965,1.000000
51,0.049561,1.328130,1.0000,0.051297,366.044427,0.051297,0.051297,0.021476,0.001102,1.000000
52,0.055096,1.123015,1.0000,0.057657,449.143573,0.057657,0.057657,0.023551,0.001358,1.000000
53,0.058066,0.931163,1.0000,0.061123,458.060613,0.061123,0.061123,0.025891,0.001583,1.000000
54,0.059548,0.753484,1.0000,0.063075,468.455750,0.063075,0.063075,0.028515,0.001799,1.000000
55,0.075375,0.590990,1.0000,0.075001,525.944492,0.075001,0.075001,0.031427,0.002357,1.000000
56,0.070307,0.444834,1.0000,0.069328,409.117272,0.069328,0.069328,0.034606,0.002399,1.000000
57,0.075034,0.316379,1.0000,0.064072,219.718056,0.064072,0.064072,0.037983,0.002434,1.000000
58,0.081566,0.207320,1.0000,0.054816,-154.950632,0.054816,0.054816,0.041414,0.002270,1.000000
59,0.083611,0.119941,1.0000,0.038918,-551.974972,0.038918,0.038918,0.044645,0.001737,1.000000
60,0.083913,0.057790,1.0000,0.032721,-671.122823,0.032721,0.032721,0.047268,0.001547,1.000000
61,0.083916,0.029168,1.0000,0.032549,-679.700210,0.032549,0.032549,0.048583,0.001581,1.000000
